,Ch_2,Ch_3,Ch_2_t,Ch_3_t,timestamp
73,88.5172,-1756.278,74.0,74.0,2022-07-07 11:10:21.191054
74,107.5172,516.41,75.0,75.0,2022-07-07 11:10:22.187782
75,106.2414,-27.9325,76.0,76.0,2022-07-07 11:10:23.189947
76,104.5517,-1654.2269,76.99,76.99,2022-07-07 11:10:24.186116
77,101.3793,1952.2791,77.99,77.99,2022-07-07 11:10:25.186522
78,106.1724,-2865.3733,79.0,79.0,2022-07-07 11:10:26.189073
79,105.2414,1953.3312,80.0,80.0,2022-07-07 11:10:27.188160
80,100.8621,-433.191,81.0,81.0,2022-07-07 11:10:28.189419
81,106.6207,-1538.4989,82.0,82.0,2022-07-07 11:10:29.189323
82,105.3448,-1229.3998,83.0,83.0,2022-07-07 11:10:30.189985
83,106.2759,-716.8299,84.0,84.0,2022-07-07 11:10:31.190571
84,86.1379,581.2177,85.0,85.0,2022-07-07 11:10:32.189590
85,106.6897,946.287,86.0,86.0,2022-07-07 11:10:33.189213
86,106.0345,-2921.3435,87.0,87.0,2022-07-07 11:10:34.191074
87,104.4483,-2684.6271,88.0,88.0,2022-07-07 11:10:35.187553
88,103.3448,-794.2625,88.99,88.99,2022-07-07 11:10:36.187624
89,105.9655,-2770.0554,89.99,89.99,2022-07-07 11:10:37.186300
90,104.4483,1342.0768,91.0,91.0,2022-07-07 11:10:38.189192
91,104.5517,821.7216,91.99,91.99,2022-07-07 11:10:39.186729
92,106.2069,-1253.5975,92.99,92.99,2022-07-07 11:10:40.186364
93,106.069,1156.4912,93.99,93.99,2022-07-07 11:10:41.187159
94,105.4483,-1612.7752,95.0,95.0,2022-07-07 11:10:42.188817
95,82.7931,-1045.2871,95.99,96.0,2022-07-07 11:10:43.187046
96,106.8966,-551.0232,97.0,97.0,2022-07-07 11:10:44.190175
97,105.2414,1454.6486,98.0,98.0,2022-07-07 11:10:45.188116
98,104.8966,1682.9485,99.0,99.0,2022-07-07 11:10:46.188466
99,97.8276,-116.0962,99.99,99.99,2022-07-07 11:10:47.187062
100,106.8276,-348.6044,101.0,101.0,2022-07-07 11:10:48.188019
101,104.8966,-1516.6157,102.0,102.0,2022-07-07 11:10:49.190122
102,104.9655,1287.1586,103.0,103.0,2022-07-07 11:10:50.191718
103,106.4483,-2190.5737,103.99,103.99,2022-07-07 11:10:51.186176
104,106.1724,2311.8777,105.0,105.0,2022-07-07 11:10:52.188402
105,104.9655,997.6282,106.0,106.0,2022-07-07 11:10:53.187101
106,79.2069,-111.2567,107.0,107.0,2022-07-07 11:10:54.189501
107,106.5862,901.8895,107.99,107.99,2022-07-07 11:10:55.186993
108,104.931,2085.2612,108.99,108.99,2022-07-07 11:10:56.186690
109,104.4138,78.9581,110.0,110.0,2022-07-07 11:10:57.188200
110,96.931,-1569.8506,110.99,110.99,2022-07-07 11:10:58.186901
111,106.1034,-1987.3132,112.0,112.0,2022-07-07 11:10:59.188807
112,104.3103,-1568.3777,112.99,112.99,2022-07-07 11:11:00.186221
113,104.9655,-2471.898,114.0,114.0,2022-07-07 11:11:01.188392
114,104.6207,217.4109,115.0,115.0,2022-07-07 11:11:02.190246
115,107.2414,-2161.9573,115.99,115.99,2022-07-07 11:11:03.186689
116,105.7586,-2952.4849,117.0,117.0,2022-07-07 11:11:04.187227
117,97.5517,-2308.6163,117.99,117.99,2022-07-07 11:11:05.186754
118,105.9655,-2980.6804,119.0,119.0,2022-07-07 11:11:06.189650
119,105.4138,2728.2881,120.0,120.0,2022-07-07 11:11:07.189998
120,104.3448,2125.0295,121.0,121.0,2022-07-07 11:11:08.187797
121,89.069,-2980.6804,121.99,121.99,2022-07-07 11:11:09.187100
122,106.2759,-2981.5221,122.99,122.99,2022-07-07 11:11:10.186685
123,105.5517,3368.5797,124.0,124.0,2022-07-07 11:11:11.189505
124,105.3448,-294.107,125.0,125.0,2022-07-07 11:11:12.188417
125,103.7241,-732.1902,125.99,125.99,2022-07-07 11:11:13.186783
126,105.8276,-2050.2271,127.0,127.0,2022-07-07 11:11:14.189589
127,105.1034,-452.3388,127.99,127.99,2022-07-07 11:11:15.186316
128,104.3448,107.5745,129.0,129.0,2022-07-07 11:11:16.191176
129,106.7931,-1364.2756,130.0,130.0,2022-07-07 11:11:17.188181
130,106.6897,1277.0587,131.0,131.0,2022-07-07 11:11:18.189031
131,104.8621,-270.3301,132.0,132.0,2022-07-07 11:11:19.190743
132,89.2414,1378.0577,133.0,133.0,2022-07-07 11:11:20.192259
133,106.5172,620.1444,134.0,134.0,2022-07-07 11:11:21.189978
134,106.5517,1509.146,134.99,134.99,2022-07-07 11:11:22.187410
135,104.4483,-672.8532,136.0,136.0,2022-07-07 11:11:23.189828
136,101.2414,-555.6523,137.0,137.0,2022-07-07 11:11:24.188478
137,106.931,-45.1865,138.0,138.0,2022-07-07 11:11:25.188152
138,105.5517,-1489.0514,138.99,138.99,2022-07-07 11:11:26.186113
139,104.2759,2076.8446,140.0,140.0,2022-07-07 11:11:27.189377
140,105.8621,-2907.877,141.0,141.0,2022-07-07 11:11:28.188312
141,106.5862,2784.4688,141.99,141.99,2022-07-07 11:11:29.187271
142,104.4828,3282.5202,143.0,143.0,2022-07-07 11:11:30.188654
143,77.0,-2038.6543,144.0,144.0,2022-07-07 11:11:31.187160
144,107.069,-457.1783,144.99,145.0,2022-07-07 11:11:32.187641
145,105.7241,997.6282,146.0,146.0,2022-07-07 11:11:33.190603
146,105.0345,-2366.2698,146.99,147.0,2022-07-07 11:11:34.187229
147,97.4138,1336.6061,147.99,147.99,2022-07-07 11:11:35.187372
148,106.4138,-1631.5021,149.0,149.0,2022-07-07 11:11:36.188535
149,104.8621,1534.6062,150.0,150.0,2022-07-07 11:11:37.189987
150,18.0345,-2833.6006,151.0,151.0,2022-07-07 11:11:38.187424
151,4.2759,1062.2254,152.0,152.0,2022-07-07 11:11:39.189274
152,1.4483,-1288.1055,152.99,152.99,2022-07-07 11:11:40.186163
153,0.5172,-2242.5461,153.99,153.99,2022-07-07 11:11:41.186081
154,0.2069,974.2721,155.0,155.0,2022-07-07 11:11:42.187948
155,0.069,2513.2444,156.0,156.0,2022-07-07 11:11:43.187862
156,-0.1379,1333.2394,157.0,157.0,2022-07-07 11:11:44.188091
157,-0.2069,-173.7498,158.0,158.0,2022-07-07 11:11:45.190068
158,-0.3448,-1648.9665,158.99,158.99,2022-07-07 11:11:46.187056
159,-0.3448,443.817,159.99,159.99,2022-07-07 11:11:47.187453
160,-0.4138,-1225.402,161.0,161.0,2022-07-07 11:11:48.187976
161,-0.3793,2026.3451,162.0,162.0,2022-07-07 11:11:49.188614
162,-0.4138,-2335.5493,163.0,163.0,2022-07-07 11:11:50.189348
163,-0.4483,1463.9069,164.0,164.0,2022-07-07 11:11:51.188862
164,-0.4483,-554.1794,165.0,165.0,2022-07-07 11:11:52.188028
165,-0.4828,1367.9578,166.0,166.0,2022-07-07 11:11:53.190199
166,-0.5862,1382.0556,167.0,167.0,2022-07-07 11:11:54.189236
167,-0.4138,1176.0597,167.99,167.99,2022-07-07 11:11:55.186270
168,-0.6207,1355.7538,169.0,169.0,2022-07-07 11:11:56.190405
169,-0.6897,1825.6096,170.0,170.0,2022-07-07 11:11:57.189001
170,-0.5172,840.4485,171.0,171.0,2022-07-07 11:11:58.189147
171,-0.5517,-643.816,172.0,172.0,2022-07-07 11:11:59.189279
172,-0.5862,-769.644,173.0,173.0,2022-07-07 11:12:00.190429
173,-0.5517,-1277.5848,174.0,174.0,2022-07-07 11:12:01.188909
174,-0.5172,1786.0516,174.99,174.99,2022-07-07 11:12:02.186484
175,-0.4828,1964.0624,175.99,176.0,2022-07-07 11:12:03.186997
176,-0.4828,-884.3199,176.99,176.99,2022-07-07 11:12:04.187641
177,-0.6897,565.8574,178.0,178.0,2022-07-07 11:12:05.187538
178,-0.6552,-1080.0055,179.0,179.0,2022-07-07 11:12:06.188605
179,-0.5172,-78.6425,180.0,180.0,2022-07-07 11:12:07.187867
180,-0.6552,482.9541,180.99,181.0,2022-07-07 11:12:08.187642
181,-0.7241,-1078.743,181.99,181.99,2022-07-07 11:12:09.186831
182,-0.5862,-2137.5492,183.0,183.0,2022-07-07 11:12:10.188451
183,-0.6552,14.3608,184.0,184.0,2022-07-07 11:12:11.188194
184,-0.5517,977.2179,184.99,184.99,2022-07-07 11:12:12.187102
185,-0.6552,372.9073,186.0,186.0,2022-07-07 11:12:13.189290
186,-0.5862,720.7226,186.99,186.99,2022-07-07 11:12:14.187616
187,-0.5862,-884.3199,187.99,187.99,2022-07-07 11:12:15.186820
188,-0.3793,-781.2168,189.0,189.0,2022-07-07 11:12:16.190022
189,-0.3448,266.4375,189.99,189.99,2022-07-07 11:12:17.186433
190,-0.6552,-1196.5752,190.99,190.99,2022-07-07 11:12:18.187051
191,-0.6207,720.5122,192.0,192.0,2022-07-07 11:12:19.188210
